CMDLINE /Users/swittchawanwanidchai/.local/share/virtualenvs/xetra2021-pPWFAzJl/bin/python run.py
MEM 0.628906 1637829754.7928
MEM 22.468750 1637829754.8981
MEM 36.527344 1637829755.0033
MEM 41.847656 1637829755.1047
MEM 43.050781 1637829755.2098
MEM 49.445312 1637829755.3147
MEM 55.777344 1637829755.4165
MEM 60.339844 1637829755.5208
MEM 63.847656 1637829755.6252
MEM 66.656250 1637829755.7304
MEM 66.656250 1637829755.8323
MEM 66.656250 1637829755.9367
MEM 66.656250 1637829756.0419
MEM 66.656250 1637829756.1463
MEM 66.675781 1637829756.2515
MEM 66.675781 1637829756.3530
MEM 66.675781 1637829756.4584
MEM 66.675781 1637829756.5630
MEM 66.675781 1637829756.6658
MEM 66.675781 1637829756.7701
MEM 66.675781 1637829756.8713
MEM 66.675781 1637829756.9755
MEM 66.675781 1637829757.0800
MEM 66.675781 1637829757.1814
MEM 66.675781 1637829757.2866
MEM 66.675781 1637829757.3880
MEM 66.675781 1637829757.4932
MEM 66.675781 1637829757.5983
MEM 66.675781 1637829757.7025
MEM 66.675781 1637829757.8031
MEM 66.675781 1637829757.9037
MEM 66.675781 1637829758.0085
MEM 66.675781 1637829758.1110
MEM 66.695312 1637829758.2162
MEM 66.695312 1637829758.3208
MEM 66.695312 1637829758.4227
MEM 66.695312 1637829758.5262
MEM 66.695312 1637829758.6288
MEM 72.835938 1637829758.7340
MEM 72.835938 1637829758.8362
MEM 72.835938 1637829758.9405
MEM 72.835938 1637829759.0424
MEM 74.058594 1637829759.1479
MEM 78.246094 1637829759.2525
MEM 78.246094 1637829759.3579
MEM 78.246094 1637829759.4627
MEM 78.246094 1637829759.5675
MEM 88.511719 1637829759.6727
MEM 93.699219 1637829759.7763
MEM 96.554688 1637829759.8815
